idx psi rho log_likelihood
187 1.6 0.8225 -512990.53
188 1.71 0.7775 -3882.949
189 2.03 0.8075 -357304.44
190 4.4 0.8225 -512990.53
191 1.6 0.8225 -512990.53
192 1.71 0.7775 -3882.949
193 2.03 0.8075 -357304.44
194 4.4 0.8225 -512990.53
195 1.6 0.8225 -512990.53
196 1.71 0.7775 -3882.949
197 2.03 0.8075 -357304.44
198 4.4 0.8225 -512990.53
199 1.6 0.8225 -512990.53
200 1.71 0.7775 -3882.949
201 2.03 0.8075 -357304.44
202 4.4 0.8225 -512990.53
203 1.6 0.8225 -512990.53
204 1.71 0.7775 -3882.949
205 2.03 0.8075 -357304.44
206 4.4 0.8225 -512990.53
207 1.6 0.8225 -512990.53
208 1.71 0.7775 -3882.949
209 2.03 0.8075 -357304.44
210 4.4 0.8225 -512990.53
211 1.6 0.8225 -512990.53
212 1.71 0.7775 -3882.949
213 2.03 0.8075 -357304.44
214 4.4 0.8225 -512990.53
215 1.6 0.8225 -512990.53
216 1.71 0.7775 -3882.949
217 2.03 0.8075 -357304.44
218 4.4 0.8225 -512990.53
219 1.6 0.8225 -512990.53
220 1.71 0.7775 -3882.949
221 2.03 0.8075 -357304.44
222 4.4 0.8225 -512990.53
223 1.6 0.8225 -512990.53
224 1.71 0.7775 -3882.949
225 2.03 0.8075 -357304.44
226 4.4 0.8225 -512990.53
227 1.6 0.8225 -512990.53
228 1.71 0.7775 -3882.949
229 2.03 0.8075 -357304.44
230 4.4 0.8225 -512990.53
231 1.6 0.8225 -512990.53
232 1.71 0.7775 -3882.949
233 2.03 0.8075 -357304.44
234 4.4 0.8225 -512990.53
235 1.6 0.8225 -512990.53
236 1.71 0.7775 -3882.949
237 2.03 0.8075 -357304.44
238 4.4 0.8225 -512990.53
239 1.6 0.8225 -512990.53
240 1.71 0.7775 -3882.949
241 2.03 0.8075 -357304.44
242 4.4 0.8225 -512990.53
243 1.6 0.8225 -512990.53
244 1.71 0.7775 -3882.949
245 2.03 0.8075 -357304.44
246 4.4 0.8225 -512990.53
247 1.6 0.8225 -512990.53
248 1.71 0.7775 -3882.949
249 2.03 0.8075 -357304.44
250 4.4 0.8225 -512990.53
251 1.6 0.8225 -512990.53
252 1.71 0.7775 -3882.949
253 2.03 0.8075 -357304.44
254 4.4 0.8225 -512990.53
255 1.6 0.8225 -512990.53
256 1.71 0.7775 -3882.949
257 2.03 0.8075 -357304.44
258 4.4 0.8225 -512990.53
259 1.6 0.8225 -512990.53
260 1.71 0.7775 -3882.949
261 2.03 0.8075 -357304.44
262 4.4 0.8225 -512990.53
263 1.6 0.8225 -512990.53
264 1.71 0.7775 -3882.949
265 2.03 0.8075 -357304.44
266 4.4 0.8225 -512990.53
267 1.6 0.8225 -512990.53
268 1.71 0.7775 -3882.949
269 2.03 0.8075 -357304.44
270 4.4 0.8225 -512990.53
271 1.6 0.8225 -512990.53
272 1.71 0.7775 -3882.949
273 2.03 0.8075 -357304.44
274 4.4 0.8225 -512990.53
275 1.6 0.8225 -512990.53
276 1.71 0.7775 -3882.949
277 2.03 0.8075 -357304.44
278 4.4 0.8225 -512990.53
279 1.6 0.8225 -512990.53
280 1.71 0.7775 -3882.949
281 2.03 0.8075 -357304.44
282 4.4 0.8225 -512990.53
283 1.6 0.8225 -512990.53
284 1.71 0.7775 -3882.949
285 2.03 0.8075 -357304.44
286 4.4 0.8225 -512990.53
287 1.6 0.8225 -512990.53
288 1.71 0.7775 -3882.949
289 2.03 0.8075 -357304.44
290 4.4 0.8225 -512990.53
291 1.6 0.8225 -512990.53
292 1.71 0.7775 -3882.949
293 2.03 0.8075 -357304.44
294 4.4 0.8225 -512990.53
295 1.6 0.8225 -512990.53
296 1.71 0.7775 -3882.949
297 2.03 0.8075 -357304.44
298 4.4 0.8225 -512990.53
299 1.6 0.8225 -512990.53
300 1.71 0.7775 -3882.949
301 2.03 0.8075 -357304.44
302 4.4 0.8225 -512990.53
303 1.6 0.8225 -512990.53
304 1.71 0.7775 -3882.949
305 2.03 0.8075 -357304.44
306 4.4 0.8225 -512990.53
307 1.6 0.8225 -512990.53
308 1.71 0.7775 -3882.949
309 2.03 0.8075 -357304.44
310 4.4 0.8225 -512990.53
311 1.6 0.8225 -512990.53
312 1.71 0.7775 -3882.949
313 2.03 0.8075 -357304.44
